#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GL000218.1	1	161147	671	19211	11.9214	0.513934	35	46
GL000219.1	1	179198	1078	32738	18.2692	0.744434	35.5	56.8
GL000220.1	1	161802	19563	30304	18.7291	14.875	33.7	1.45
GL000221.1	1	155397	370	18599	11.9687	0.292316	35.4	32.1
GL000224.1	1	179693	72	5105	2.84096	0.0491895	33.9	46
GL000225.1	1	211173	58	4758	2.25313	0.0339295	33.9	58
KI270330.1	1	1652	15	616	37.2881	1.11864	34	60
KI270435.1	1	92983	1	121	0.130131	0.00130131	29.9	1
KI270438.1	1	112505	22	1849	1.64348	0.0240256	35.3	43.8
KI270442.1	1	392061	10	1052	0.268326	0.00314492	33.3	36.3
KI270519.1	1	138126	1	122	0.0883252	0.000883252	37.5	60
KI270538.1	1	91309	1	125	0.136898	0.00136898	32.8	60
KI270706.1	1	175055	521	28962	16.5445	0.365657	34.8	53.6
KI270707.1	1	32032	114	7464	23.3017	0.438686	35	52.7
KI270708.1	1	127682	4	315	0.246707	0.0037985	32.4	30.5
KI270709.1	1	66860	15	884	1.32217	0.0276249	36.8	24.3
KI270711.1	1	42210	1096	15288	36.2189	3.1927	35.1	28.6
KI270712.1	1	176043	667	15623	8.87454	0.4617	34.2	22.5
KI270713.1	1	40745	82	4488	11.0148	0.247564	35.4	49.2
KI270714.1	1	41717	2	193	0.462641	0.00577702	33.3	60
KI270715.1	1	161471	5	623	0.385828	0.00385828	36.7	1
KI270717.1	1	40062	90	5858	14.6223	0.277894	35.1	20.6
KI270718.1	1	38054	580	18255	47.9713	1.87702	35.1	9.39
KI270719.1	1	176845	115	5367	3.03486	0.0793972	35.5	3.49
KI270720.1	1	39050	3	168	0.430218	0.00901408	37.3	60
KI270721.1	1	100316	3488	6648	6.62706	4.26514	33.4	5.81
KI270722.1	1	194050	2	239	0.123164	0.00123164	33.2	30
KI270723.1	1	38115	4	264	0.692641	0.0128821	32.1	30.5
KI270725.1	1	172810	132	5674	3.28337	0.0917308	34.4	15.9
KI270726.1	1	43739	5	278	0.635588	0.0141064	34.4	48
KI270727.1	1	448248	64	5668	1.26448	0.0173765	35.2	13.9
KI270728.1	1	1872759	2484	58283	3.11215	0.163921	35.1	5.14
KI270729.1	1	280839	26	1762	0.627406	0.011398	35.8	53.1
KI270731.1	1	150754	27	1163	0.771455	0.0222415	35.5	3.19
KI270732.1	1	41543	2	209	0.503093	0.00553643	37.6	60
KI270733.1	1	179772	20597	32248	17.9383	14.0936	33.7	2.56
KI270734.1	1	165050	230	6619	4.0103	0.171106	34	22
KI270735.1	1	42811	4	416	0.971713	0.0115624	33.3	60
KI270737.1	1	103838	2	246	0.236907	0.00236907	35.4	30.5
KI270738.1	1	99375	37	1609	1.61912	0.0458063	35.1	50.4
KI270739.1	1	73985	1	120	0.162195	0.00162195	34.3	0
KI270740.1	1	37240	2	223	0.598818	0.00671321	36.3	60
KI270741.1	1	157432	38	3186	2.02373	0.0297335	34.1	0.947
KI270742.1	1	186739	405	22773	12.1951	0.266168	35	31.3
KI270743.1	1	210658	39	2984	1.41651	0.0229092	34.6	20.6
KI270744.1	1	168472	181	6759	4.01194	0.128722	33.6	32.5
KI270745.1	1	41891	126	9267	22.1217	0.36287	33.9	20.6
KI270746.1	1	66486	3	318	0.478296	0.0052041	30.7	60
KI270747.1	1	198735	23	1720	0.865474	0.0140438	35	11
KI270748.1	1	93321	32	2738	2.93396	0.0415662	35.5	10.2
KI270749.1	1	158759	41	2229	1.40401	0.0310534	35.6	23.9
KI270750.1	1	148850	2	191	0.128317	0.00167954	36.8	1
KI270751.1	1	150742	31	2296	1.52313	0.0251688	34	25.5
KI270755.1	1	36723	2	183	0.498325	0.00680772	36	60
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270317.1	1	37690	0	0	0	0	0	0
KI270320.1	1	4416	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270333.1	1	2699	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270336.1	1	1026	0	0	0	0	0	0
KI270337.1	1	1121	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270364.1	1	2855	0	0	0	0	0	0
KI270366.1	1	8320	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270382.1	1	4215	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270448.1	1	7992	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270466.1	1	1233	0	0	0	0	0	0
KI270467.1	1	3920	0	0	0	0	0	0
KI270468.1	1	4055	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270511.1	1	8127	0	0	0	0	0	0
KI270512.1	1	22689	0	0	0	0	0	0
KI270515.1	1	6361	0	0	0	0	0	0
KI270516.1	1	1300	0	0	0	0	0	0
KI270517.1	1	3253	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270521.1	1	7642	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270528.1	1	2983	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270579.1	1	31033	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270582.1	1	6504	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270589.1	1	44474	0	0	0	0	0	0
KI270590.1	1	4685	0	0	0	0	0	0
KI270591.1	1	5796	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270710.1	1	40176	0	0	0	0	0	0
KI270716.1	1	153799	0	0	0	0	0	0
KI270724.1	1	39555	0	0	0	0	0	0
KI270730.1	1	112551	0	0	0	0	0	0
KI270736.1	1	181920	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270753.1	1	62944	0	0	0	0	0	0
KI270754.1	1	40191	0	0	0	0	0	0
KI270756.1	1	79590	0	0	0	0	0	0
KI270757.1	1	71251	0	0	0	0	0	0
