#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
KI270721.1	1	100316	1393	4504	4.48981	1.70264	33.3	16.1
KI270722.1	1	194050	11	981	0.50554	0.0069209	33.5	49.3
KI270725.1	1	172810	36	2773	1.60465	0.0252995	35.2	20.6
KI270726.1	1	43739	19	740	1.69185	0.0520359	34.4	53.7
KI270727.1	1	448248	29	2516	0.561296	0.00778587	34.2	13.1
KI270728.1	1	1872759	314	19501	1.0413	0.0205814	34.8	11.5
KI270729.1	1	280839	9	596	0.212221	0.00398805	36.3	40
KI270731.1	1	150754	46	2068	1.37177	0.0375977	35.4	2.28
KI270732.1	1	41543	4	337	0.811208	0.0108803	34.6	60
KI270733.1	1	179772	26576	32097	17.8543	18.1869	33.8	2.46
KI270734.1	1	165050	237	6443	3.90367	0.176141	33.8	23.4
KI270735.1	1	42811	2	223	0.520894	0.00520894	34.4	60
KI270738.1	1	99375	5	442	0.44478	0.00609811	36.4	60
KI270739.1	1	73985	2	235	0.317632	0.003325	35.7	1
KI270740.1	1	37240	8	855	2.29592	0.0266649	34.8	15.8
KI270741.1	1	157432	124	7664	4.86813	0.0973944	35.6	8.98
KI270742.1	1	186739	282	19121	10.2394	0.185409	34.6	33.6
KI270743.1	1	210658	20	1942	0.921873	0.0117536	36.3	36.2
KI270744.1	1	168472	236	8233	4.88687	0.171761	34.8	43
KI270745.1	1	41891	260	11449	27.3305	0.76033	33.7	29.1
KI270746.1	1	66486	6	565	0.849803	0.0112054	34.8	50.2
KI270747.1	1	198735	2	249	0.125292	0.00125292	36.6	1
KI270748.1	1	93321	27	2292	2.45604	0.0345367	34	5.33
KI270749.1	1	158759	13	1236	0.778539	0.00974433	34.6	41.8
KI270750.1	1	148850	2	245	0.164595	0.00164595	34.8	0.5
KI270751.1	1	150742	30	2618	1.73674	0.0246779	35.5	12.8
KI270753.1	1	62944	2	181	0.287557	0.00394001	28	1
KI270755.1	1	36723	12	1095	2.98178	0.040683	34.5	20.7
GL000225.1	1	211173	0	0	0	0	0	0
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270317.1	1	37690	0	0	0	0	0	0
KI270320.1	1	4416	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270333.1	1	2699	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270336.1	1	1026	0	0	0	0	0	0
KI270337.1	1	1121	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270364.1	1	2855	0	0	0	0	0	0
KI270366.1	1	8320	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270382.1	1	4215	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270435.1	1	92983	0	0	0	0	0	0
KI270448.1	1	7992	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270466.1	1	1233	0	0	0	0	0	0
KI270467.1	1	3920	0	0	0	0	0	0
KI270468.1	1	4055	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270511.1	1	8127	0	0	0	0	0	0
KI270512.1	1	22689	0	0	0	0	0	0
KI270515.1	1	6361	0	0	0	0	0	0
KI270516.1	1	1300	0	0	0	0	0	0
KI270517.1	1	3253	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270521.1	1	7642	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270528.1	1	2983	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270538.1	1	91309	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270579.1	1	31033	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270582.1	1	6504	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270589.1	1	44474	0	0	0	0	0	0
KI270590.1	1	4685	0	0	0	0	0	0
KI270591.1	1	5796	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270710.1	1	40176	0	0	0	0	0	0
KI270715.1	1	161471	0	0	0	0	0	0
KI270723.1	1	38115	0	0	0	0	0	0
KI270724.1	1	39555	0	0	0	0	0	0
KI270730.1	1	112551	0	0	0	0	0	0
KI270736.1	1	181920	0	0	0	0	0	0
KI270737.1	1	103838	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270754.1	1	40191	0	0	0	0	0	0
KI270756.1	1	79590	0	0	0	0	0	0
KI270757.1	1	71251	0	0	0	0	0	0
