#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
KI270590.1	1	4685	0	0	0	0	0	0
KI270591.1	1	5796	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270715.1	1	161471	0	0	0	0	0	0
KI270716.1	1	153799	0	0	0	0	0	0
KI270724.1	1	39555	0	0	0	0	0	0
KI270730.1	1	112551	0	0	0	0	0	0
KI270732.1	1	41543	0	0	0	0	0	0
KI270735.1	1	42811	0	0	0	0	0	0
KI270736.1	1	181920	0	0	0	0	0	0
KI270737.1	1	103838	0	0	0	0	0	0
KI270739.1	1	73985	0	0	0	0	0	0
KI270740.1	1	37240	0	0	0	0	0	0
KI270747.1	1	198735	0	0	0	0	0	0
KI270750.1	1	148850	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270753.1	1	62944	0	0	0	0	0	0
KI270754.1	1	40191	0	0	0	0	0	0
KI270756.1	1	79590	0	0	0	0	0	0
